max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy
1,sqrt,1,2,1,0.5725490196078431
1,sqrt,1,2,3,0.6
1,sqrt,1,2,9,0.5764705882352941
1,sqrt,1,2,27,0.5882352941176471
1,sqrt,1,2,81,0.592156862745098
1,sqrt,1,2,243,0.6039215686274509
1,sqrt,1,2,729,0.596078431372549
1,sqrt,1,2,2187,0.592156862745098
1,sqrt,1,5,1,0.5450980392156862
1,sqrt,1,5,3,0.5764705882352941
1,sqrt,1,5,9,0.5647058823529412
1,sqrt,1,5,27,0.592156862745098
1,sqrt,1,5,81,0.6
1,sqrt,1,5,243,0.592156862745098
1,sqrt,1,5,729,0.596078431372549
1,sqrt,1,5,2187,0.596078431372549
1,sqrt,1,10,1,0.5372549019607843
1,sqrt,1,10,3,0.5647058823529412
1,sqrt,1,10,9,0.6078431372549019
1,sqrt,1,10,27,0.6
1,sqrt,1,10,81,0.592156862745098
1,sqrt,1,10,243,0.611764705882353
1,sqrt,1,10,729,0.6039215686274509
1,sqrt,1,10,2187,0.6
1,sqrt,2,2,1,0.5725490196078431
1,sqrt,2,2,3,0.5843137254901961
1,sqrt,2,2,9,0.592156862745098
1,sqrt,2,2,27,0.5882352941176471
1,sqrt,2,2,81,0.596078431372549
1,sqrt,2,2,243,0.6039215686274509
1,sqrt,2,2,729,0.6
1,sqrt,2,2,2187,0.5882352941176471
1,sqrt,2,5,1,0.5725490196078431
1,sqrt,2,5,3,0.5803921568627451
1,sqrt,2,5,9,0.5882352941176471
1,sqrt,2,5,27,0.6
1,sqrt,2,5,81,0.5882352941176471
1,sqrt,2,5,243,0.596078431372549
1,sqrt,2,5,729,0.592156862745098
1,sqrt,2,5,2187,0.6
1,sqrt,2,10,1,0.4980392156862745
1,sqrt,2,10,3,0.5882352941176471
1,sqrt,2,10,9,0.5803921568627451
1,sqrt,2,10,27,0.5764705882352941
1,sqrt,2,10,81,0.5882352941176471
1,sqrt,2,10,243,0.592156862745098
1,sqrt,2,10,729,0.592156862745098
1,sqrt,2,10,2187,0.6039215686274509
1,sqrt,4,2,1,0.5764705882352941
1,sqrt,4,2,3,0.5725490196078431
1,sqrt,4,2,9,0.5882352941176471
1,sqrt,4,2,27,0.5882352941176471
1,sqrt,4,2,81,0.592156862745098
1,sqrt,4,2,243,0.6039215686274509
1,sqrt,4,2,729,0.6
1,sqrt,4,2,2187,0.6
1,sqrt,4,5,1,0.5764705882352941
1,sqrt,4,5,3,0.5647058823529412
1,sqrt,4,5,9,0.5843137254901961
1,sqrt,4,5,27,0.596078431372549
1,sqrt,4,5,81,0.6
1,sqrt,4,5,243,0.6
1,sqrt,4,5,729,0.6
1,sqrt,4,5,2187,0.596078431372549
1,sqrt,4,10,1,0.5725490196078431
1,sqrt,4,10,3,0.5686274509803921
1,sqrt,4,10,9,0.5647058823529412
1,sqrt,4,10,27,0.592156862745098
1,sqrt,4,10,81,0.5882352941176471
1,sqrt,4,10,243,0.6078431372549019
1,sqrt,4,10,729,0.592156862745098
1,sqrt,4,10,2187,0.6
1,log2,1,2,1,0.5725490196078431
1,log2,1,2,3,0.6
1,log2,1,2,9,0.5882352941176471
1,log2,1,2,27,0.5803921568627451
1,log2,1,2,81,0.615686274509804
1,log2,1,2,243,0.596078431372549
1,log2,1,2,729,0.596078431372549
1,log2,1,2,2187,0.592156862745098
1,log2,1,5,1,0.5725490196078431
1,log2,1,5,3,0.5725490196078431
1,log2,1,5,9,0.5686274509803921
1,log2,1,5,27,0.5843137254901961
1,log2,1,5,81,0.596078431372549
1,log2,1,5,243,0.6039215686274509
1,log2,1,5,729,0.6
1,log2,1,5,2187,0.6039215686274509
1,log2,1,10,1,0.5137254901960784
1,log2,1,10,3,0.5725490196078431
1,log2,1,10,9,0.6
1,log2,1,10,27,0.596078431372549
1,log2,1,10,81,0.6039215686274509
1,log2,1,10,243,0.596078431372549
1,log2,1,10,729,0.6039215686274509
1,log2,1,10,2187,0.596078431372549
1,log2,2,2,1,0.5529411764705883
1,log2,2,2,3,0.596078431372549
1,log2,2,2,9,0.5803921568627451
1,log2,2,2,27,0.596078431372549
1,log2,2,2,81,0.6
1,log2,2,2,243,0.6
1,log2,2,2,729,0.592156862745098
1,log2,2,2,2187,0.5882352941176471
1,log2,2,5,1,0.5725490196078431
1,log2,2,5,3,0.5568627450980392
1,log2,2,5,9,0.5803921568627451
1,log2,2,5,27,0.592156862745098
1,log2,2,5,81,0.592156862745098
1,log2,2,5,243,0.592156862745098
1,log2,2,5,729,0.596078431372549
1,log2,2,5,2187,0.6078431372549019
1,log2,2,10,1,0.5843137254901961
1,log2,2,10,3,0.5764705882352941
1,log2,2,10,9,0.5882352941176471
1,log2,2,10,27,0.5647058823529412
1,log2,2,10,81,0.6
1,log2,2,10,243,0.6
1,log2,2,10,729,0.592156862745098
1,log2,2,10,2187,0.6
1,log2,4,2,1,0.5803921568627451
1,log2,4,2,3,0.5803921568627451
1,log2,4,2,9,0.5725490196078431
1,log2,4,2,27,0.5686274509803921
1,log2,4,2,81,0.596078431372549
1,log2,4,2,243,0.596078431372549
1,log2,4,2,729,0.592156862745098
1,log2,4,2,2187,0.592156862745098
1,log2,4,5,1,0.5764705882352941
1,log2,4,5,3,0.5843137254901961
1,log2,4,5,9,0.5568627450980392
1,log2,4,5,27,0.6
1,log2,4,5,81,0.5843137254901961
1,log2,4,5,243,0.6039215686274509
1,log2,4,5,729,0.592156862745098
1,log2,4,5,2187,0.592156862745098
1,log2,4,10,1,0.5725490196078431
1,log2,4,10,3,0.5764705882352941
1,log2,4,10,9,0.6
1,log2,4,10,27,0.592156862745098
1,log2,4,10,81,0.5725490196078431
1,log2,4,10,243,0.5882352941176471
1,log2,4,10,729,0.596078431372549
1,log2,4,10,2187,0.596078431372549
2,sqrt,1,2,1,0.5607843137254902
2,sqrt,1,2,3,0.6
2,sqrt,1,2,9,0.5568627450980392
2,sqrt,1,2,27,0.611764705882353
2,sqrt,1,2,81,0.615686274509804
2,sqrt,1,2,243,0.6078431372549019
2,sqrt,1,2,729,0.615686274509804
2,sqrt,1,2,2187,0.611764705882353
2,sqrt,1,5,1,0.5607843137254902
2,sqrt,1,5,3,0.5490196078431373
2,sqrt,1,5,9,0.592156862745098
2,sqrt,1,5,27,0.5843137254901961
2,sqrt,1,5,81,0.6078431372549019
2,sqrt,1,5,243,0.6078431372549019
2,sqrt,1,5,729,0.615686274509804
2,sqrt,1,5,2187,0.611764705882353
2,sqrt,1,10,1,0.5686274509803921
2,sqrt,1,10,3,0.5882352941176471
2,sqrt,1,10,9,0.615686274509804
2,sqrt,1,10,27,0.6196078431372549
2,sqrt,1,10,81,0.596078431372549
2,sqrt,1,10,243,0.611764705882353
2,sqrt,1,10,729,0.611764705882353
2,sqrt,1,10,2187,0.615686274509804
2,sqrt,2,2,1,0.596078431372549
2,sqrt,2,2,3,0.5764705882352941
2,sqrt,2,2,9,0.5607843137254902
2,sqrt,2,2,27,0.6078431372549019
2,sqrt,2,2,81,0.592156862745098
2,sqrt,2,2,243,0.6235294117647059
